CRN	Subj	No.	Title	Building	Room	Days	Begin	End	Max	Actual	Avail	Waitlist	Crosslist	Actual	Instructor
10214	AFS	326	African Politics	HAR	202	T R	10:00 AM	11:20 AM	18	0	18	0	18	4	Susan Dicklitch-Nelson
10216	AFS	326	African Politics	HAR	202	T R	2:15 PM	3:35 PM	18	1	17	0	18	6	Susan Dicklitch-Nelson
10342	AFS	169	Caribbean Literature	UNK	0	M W F	2:30 PM	3:50 PM	19	0	19	0	19	1	Genevieve Abravanel
10361	AFS	256	African-American Literature I	UNK	0	T R	2:15 PM	3:35 PM	19	0	19	0	19	1	Patrick Bernard
10530	AFS	349	Modern South Africa	UNK	0	T R	10:00 AM	11:20 AM	18	0	18	0	18	3	Douglas Anthony
10534	AFS	141	History of North & West Africa	UNK	0	M W	1:00 PM	2:20 PM	25	4	21	0	25	6	Douglas Anthony
10554	AFS	360	Race and Ethnic Relations	UNK	0	T R	10:00 AM	11:20 AM	5	0	5	0	25	8	Ashley Rondini
10569	AFS	370	Race & American Politics	UNK	0	T R	2:15 PM	3:35 PM	18	1	17	0	18	9	David Ciuk
10570	AFS	370	Race & American Politics	UNK	0	T R	12:45 PM	2:05 PM	18	1	17	0	18	15	David Ciuk
10573	AFS	334	"American South, 1800-1865"	UNK	0	M W	11:00 AM	12:20 PM	3	0	3	0	18	4	Edward Pearson
10574	AFS	150	Intro Afr American Studies	UNK	0	M W	11:00 AM	12:20 PM	5	1	4	0	25	1	Carla Willard
10575	AFS	150	Intro Afr American Studies	UNK	0	M W	2:30 PM	3:50 PM	5	1	4	0	25	1	Carla Willard
10662	AFS	173	Coming of Age	UNK	0	T R	10:00 AM	11:20 AM	25	1	24	0	25	7	Nicole Cesare
10691	AFS	315	Cross-Cultural Psychology	UNK	0	T R	8:30 AM	9:50 AM	24	1	23	0	24	14	Michael Penn
10692	AFS	475	La invencion de Cuba	UNK	0	T R	12:45 PM	2:05 PM	3	1	2	0	16	12	Kathrin Theumer
10716	AFS	157	African Drum Ensemble	SCC	B12	T R	7:15 PM	8:45 PM	5	0	5	0	30	0	Tammi Hessen
10744	AFS	271	African Art in Diaspora	KEI	114	M W F	12:30 PM	1:20 PM	25	0	25	0	25	1	. Staff
10771	AFS	279	"Race, Gender, Community"	UNK	0	T R	10:00 AM	11:20 AM	5	2	3	0	20	8	Nicky Kroll
10771	AFS	279	"Race, Gender, Community"	UNK	0	T R	10:00 AM	11:20 AM	5	2	3	0	20	8	Bennett Helm
10176	AMS	100	Intro to American Studies	UNK	0	M W F	9:00 AM	9:50 AM	25	0	25	0			M. Kibler
10177	AMS	150	Intro Afr American Studies	UNK	0	M W	11:00 AM	12:20 PM	20	0	20	0	25	1	Carla Willard
10178	AMS	150	Intro Afr American Studies	UNK	0	M W	2:30 PM	3:50 PM	20	0	20	0	25	1	Carla Willard
10179	AMS	271	Hip Hop: Politics of Culture	UNK	0	M W F	12:30 PM	1:20 PM	25	3	22	0			. Staff
10180	AMS	280	American Landscape	UNK	0	T R	10:00 AM	11:20 AM	20	3	17	0	25	7	David Schuyler
10182	AMS	330	Ethnic America	UNK	0	T R	2:15 PM	3:35 PM	25	3	22	0	25	4	Dennis Deslippe
10184	AMS	310	American Masculinities	UNK	0	T R	7:30 PM	8:50 PM	20	3	17	0	20	5	Dennis Deslippe
10186	AMS	489	Senior Seminar	UNK	0	M	1:30 PM	4:20 PM	16	0	16	0			Dennis Deslippe
10532	AMS	136	U.S. Empire	UNK	0	M W F	11:00 AM	11:50 AM	5	2	3	0	25	6	Louise Stevenson
10585	AMS	261	North American Indians	STA	101	T R	12:45 PM	2:05 PM	4	0	4	0	24	4	Mary Ann Levine
10592	AMS	380	Arch of Colonialsm Natv N Amer	STA	101	W	1:30 PM	4:20 PM	5	0	5	0	15	3	Mary Ann Levine
10735	AMS	203	Cultural Hist of Amer Religion	UNK	0	T R	10:00 AM	11:20 AM	25	1	24	0	25	2	. Staff
10736	AMS	374	Spec Topic American Religion	UNK	0	T	1:30 PM	4:20 PM	15	0	15	0	15	4	. Staff
10577	ANT	100	Social Anthropology	UNK	0	M W	11:00 AM	12:20 PM	30	0	30	0			Bridget Guarasci
10578	ANT	100	Social Anthropology	UNK	0	M W	3:00 PM	4:20 PM	30	0	30	0			Tate LeFevre
10579	ANT	100	Social Anthropology	UNK	0	T R	10:00 AM	11:20 AM	20	0	20	0			Misty Bastian
10580	ANT	102	Intro to Archaeology	STA	101	T R	8:30 AM	9:50 AM	24	0	24	0			. Staff
